,matchId,startTime,endTime
0,NA1_5318798995,1751576054512,1751577517707
1,NA1_5318787215,1751574512504,1751575924483
2,NA1_5318230629,1751490623541,1751492236860
3,NA1_5315452058,1751081510051,1751082899595
4,NA1_5315433447,1751080179985,1751081587030
5,NA1_5315153645,1751049529762,1751051274977
6,NA1_5307912804,1750025436795,1750027838431
7,NA1_5307759069,1750006967866,1750009047614
8,NA1_5307491321,1749960284253,1749962170877
9,NA1_5307427183,1749955349364,1749957067874
10,NA1_5307394683,1749953052491,1749954832869
11,NA1_5307322702,1749946499478,1749948015458
12,NA1_5307212234,1749934386211,1749936271444
13,NA1_5306779554,1749869698470,1749871313220
14,NA1_5302872260,1749334751648,1749336960619
15,NA1_5302818884,1749328658436,1749330778430
16,NA1_5298655538,1748744168471,1748745116757
17,NA1_5286803435,1747247753506,1747249392574
18,NA1_5286434964,1747186597411,1747188151978
19,NA1_5286228973,1747165465418,1747167217063
20,NA1_5286192607,1747160439314,1747162054038
21,NA1_5286173927,1747156759259,1747158222533
22,NA1_5285697146,1747089750437,1747091444163
23,NA1_5284408593,1746917258517,1746918944682
24,NA1_5284394729,1746915767314,1746917267394
25,NA1_5284383102,1746914310961,1746916166262
26,NA1_5284170991,1746882259158,1746884110866
27,NA1_5281821757,1746564863617,1746566441300
28,NA1_5281688900,1746544573505,1746546081391
29,NA1_5281670289,1746540932890,1746542522458
30,NA1_5281481854,1746504252871,1746505984114
31,NA1_5281223638,1746483737704,1746485062255
32,NA1_5281214526,1746482690866,1746484115577
33,NA1_5281204951,1746481288156,1746482818989
34,NA1_5281096120,1746466265353,1746467677400
35,NA1_5281062886,1746460039653,1746461800258
36,NA1_5281053565,1746458627696,1746460120758
37,NA1_5278411593,1746132591266,1746134360536
38,NA1_5278404373,1746131537024,1746133021385
39,NA1_5278395074,1746130203002,1746131835678
40,NA1_5278360096,1746125461212,1746127032230
41,NA1_5278348054,1746123804823,1746125307080
42,NA1_5278269386,1746108103846,1746110210578
43,NA1_5278265530,1746106814999,1746108372335
44,NA1_5278259818,1746104010681,1746106504028
45,NA1_5278109070,1746074382234,1746076056591
46,NA1_5278089939,1746072863829,1746074845445
47,NA1_5278071797,1746071328425,1746072742057
48,NA1_5278047532,1746069703844,1746071220047
49,NA1_5278024316,1746067853976,1746069436308
50,NA1_5277802626,1746048377495,1746050396860
51,NA1_5277790594,1746046914612,1746048514456
52,NA1_5277781071,1746045545865,1746047021432
53,NA1_5277767074,1746043767580,1746045414766
54,NA1_5277757911,1746042379503,1746044032169
55,NA1_5277744858,1746040732867,1746042387282
56,NA1_5277727006,1746038030528,1746040089948
57,NA1_5277261206,1745968846678,1745970483363
58,NA1_5277177487,1745959289327,1745960670196
59,NA1_5277164355,1745957435202,1745959095540
60,NA1_5277139977,1745953727374,1745955546353
61,NA1_5277131900,1745952375649,1745953858433
62,NA1_5277090513,1745946051335,1745947596079
63,NA1_5277081205,1745943972261,1745945486658
64,NA1_5277069663,1745942122251,1745943922666
65,NA1_5277050641,1745937532153,1745939270942
66,NA1_5277048800,1745936412344,1745937808166
67,NA1_5277039135,1745934011171,1745935374186
68,NA1_5234683391,1740181962896,1740183836758
69,NA1_5231337230,1739766135951,1739768155848
70,NA1_5230925289,1739737718610,1739739310940
71,NA1_5226079127,1739139041622,1739141256065
72,NA1_5225296385,1739056628901,1739059298488
73,NA1_5225066698,1739032098815,1739034035034
74,NA1_5225027509,1739023200895,1739024938127
75,NA1_5224540241,1738973060716,1738975667506
76,NA1_5224491413,1738968396181,1738970154384
77,NA1_5175864589,1733600046386,1733602109425
78,NA1_5175842954,1733597733502,1733599760940
79,NA1_5175732905,1733583543929,1733585961519
80,NA1_5170122802,1733066309683,1733067906823
81,NA1_5170114237,1733065347196,1733065468750
82,NA1_5169619011,1733022119933,1733024647269
83,NA1_5169607114,1733021570864,1733021707435
84,NA1_5167127154,1732822411256,1732824180844
85,NA1_5164062740,1732574699341,1732577000253
86,NA1_5161793501,1732396934181,1732398944943
87,NA1_5161753381,1732394094781,1732396507814
88,NA1_5161727976,1732392089758,1732393476139
89,NA1_5161558520,1732375784983,1732377368788
90,NA1_5157302004,1731975731002,1731978347629
91,NA1_5157280096,1731973881198,1731975365020
92,NA1_5157220154,1731968062324,1731969688153
93,NA1_5156826132,1731904322610,1731905637367
94,NA1_5156793033,1731902389248,1731904077721
